ORGANISME,CODE_QUALIFICATION,LIBELLE_QUALIFICATION,DOMAINE_TRAVAUX,META_DOMAINE,,
qualibat,5312D9,Installations thermiques,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualibat,5313D9,Installations thermiques,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualibat,5342D9,Régulation,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualibat,5361D9,Rénovation d'installations de chauffage,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualibat,5362D9,Rénovation de chaufferies,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualibat,5363D9,Rénovation de chaufferies,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualibat,5412D9,Climatisation,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualibat,5413D9,Climatisation,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualibat,5414D9,Climatisation,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualibat,5421D9,Climatiseurs individuels,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualibat,5422D9,Climatiseurs autonomes,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualibat,5423D9,Climatiseurs à détente directe,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualibat,5511D9,Installation de systèmes de gestion technique du bâtiment (gtb),"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualibat,62MEE,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage","Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualibat,8611M11D9,"Efficacité énergétique - ""ECO Artisan®"" - Plombier","Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualibat,8611M12D9,"Efficacité énergétique - ""ECO Artisan®"" - Chauffagiste","Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualibat,8611M13D9,"Efficacité énergétique - ""ECO Artisan®"" - Électricien","Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualibat,8621T14D9,"Efficacité énergétique - ""Les pros de la performance énergétique®"" - Chauffage, ventilation, climatisation","Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualibat,8621T19D9,"Efficacité énergétique - ""Les pros de la performance énergétique®"" - Eclairage","Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualibat,8621T20D9,"Efficacité énergétique - ""Les pros de la performance énergétique®"" - Eau chaude sanitaire","Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualibat,2301D110,"Fourniture et pose de charpente traditionnelle, en bois lamellé collé et structure en bois",Fenêtres de toit,Travaux d'efficacité énergétique,,
qualibat,2302D110,"Fourniture et pose de charpente traditionnelle, en bois lamellé collé et structure en bois",Fenêtres de toit,Travaux d'efficacité énergétique,,
qualibat,2303D110,"Fourniture et pose de charpente traditionnelle, en bois lamellé collé et structure en bois",Fenêtres de toit,Travaux d'efficacité énergétique,,
qualibat,2312D110,Fabrication et pose de charpente traditionnelle et structure en bois,Fenêtres de toit,Travaux d'efficacité énergétique,,
qualibat,2313D110,Fabrication et pose de charpente traditionnelle et structure en bois,Fenêtres de toit,Travaux d'efficacité énergétique,,
qualibat,2351D110,Fourniture et pose de bâtiments à ossature bois,Fenêtres de toit,Travaux d'efficacité énergétique,,
qualibat,2352D110,Fourniture et pose de bâtiments à ossature bois,Fenêtres de toit,Travaux d'efficacité énergétique,,
qualibat,2361D110,Fabrication et pose de bâtiments à ossature bois,Fenêtres de toit,Travaux d'efficacité énergétique,,
qualibat,2362D110,Fabrication et pose de bâtiments à ossature bois,Fenêtres de toit,Travaux d'efficacité énergétique,,
qualibat,2371D110,Charpente et structures industrialisées en bois,Fenêtres de toit,Travaux d'efficacité énergétique,,
qualibat,2372D110,Charpente et structures industrialisées en bois,Fenêtres de toit,Travaux d'efficacité énergétique,,
qualibat,2381D110,Fourniture et pose de bâtiments en panneaux bois massifs croisés,Fenêtres de toit,Travaux d'efficacité énergétique,,
qualibat,3101D110,Tuiles à emboîtement ou à glissement,Fenêtres de toit,Travaux d'efficacité énergétique,,
qualibat,3111D110,Tuiles canal,Fenêtres de toit,Travaux d'efficacité énergétique,,
qualibat,3113D110,Tuiles canal,Fenêtres de toit,Travaux d'efficacité énergétique,,
qualibat,3121D110,Tuiles plates,Fenêtres de toit,Travaux d'efficacité énergétique,,
qualibat,3123D110,Tuiles plates,Fenêtres de toit,Travaux d'efficacité énergétique,,
qualibat,3132D110,Ardoises,Fenêtres de toit,Travaux d'efficacité énergétique,,
qualibat,3133D110,Ardoises,Fenêtres de toit,Travaux d'efficacité énergétique,,
qualibat,3143D110,Fenêtres de toit en pente,Fenêtres de toit,Travaux d'efficacité énergétique,,
qualibat,3152D110,Couverture en métaux sauf plomb,Fenêtres de toit,Travaux d'efficacité énergétique,,
qualibat,3153D110,Couverture en métaux sauf plomb,Fenêtres de toit,Travaux d'efficacité énergétique,,
qualibat,3162D110,Couverture en plomb,Fenêtres de toit,Travaux d'efficacité énergétique,,
qualibat,3163D110,Couverture en plomb,Fenêtres de toit,Travaux d'efficacité énergétique,,
qualibat,3172D110,Couverture en matériaux régionaux,Fenêtres de toit,Travaux d'efficacité énergétique,,
qualibat,3173D110,Couverture en matériaux régionaux,Fenêtres de toit,Travaux d'efficacité énergétique,,
qualibat,3181D110,Couverture en plaques nervurées ou ondulées,Fenêtres de toit,Travaux d'efficacité énergétique,,
qualibat,3712D110,Fourniture et pose de façades-rideaux métalliques,Fenêtres de toit,Travaux d'efficacité énergétique,,
